,Brazil,China,Germany,Greece,India,US
2016-01-04,42141.0,3296.26,10283.44,621.12,25623.35,2012.66
2016-01-05,42419.0,3287.71,10310.1,617.59,25580.34,2016.71
2016-01-07,40695.0,3125.0,9979.85,590.75,24851.83,1943.09
2016-01-08,40612.0,3186.41,9849.34,585.98,24934.33,1922.03
2016-01-11,39950.0,3016.7,9825.07,581.68,24825.04,1923.67
2016-01-12,39514.0,3022.86,9985.43,594.26,24682.03,1938.68
2016-01-13,38944.0,2949.6,9960.96,589.35,24854.11,1890.28
2016-01-14,39500.0,3007.65,9794.2,573.92,24772.97,1921.84
2016-01-15,38569.0,2900.97,9545.27,558.45,24455.04,1880.33
2016-01-19,38057.0,3007.74,9664.21,558.25,24479.84,1881.33
2016-01-20,37645.0,2976.69,9391.64,526.44,24062.04,1859.33
2016-01-21,37717.0,2880.48,9574.16,523.01,23962.21,1868.99
2016-01-22,38031.0,2916.56,9764.88,534.34,24435.66,1906.9
2016-01-27,38376.0,2735.56,9880.82,545.27,24492.39,1882.95
2016-01-28,38630.0,2655.66,9639.59,542.18,24469.57,1893.36
2016-01-29,40406.0,2737.6,9798.11,552.83,24870.69,1940.24
2016-02-01,40570.0,2688.85,9757.88,557.16,24824.83,1939.38
2016-02-02,38596.0,2749.57,9581.04,552.5,24539.0,1903.03
2016-02-03,39589.0,2739.25,9434.82,529.73,24223.32,1912.53
2016-02-04,40822.0,2781.02,9393.36,509.45,24338.43,1915.45
2016-02-05,40592.0,2763.49,9286.23,503.88,24616.97,1880.05
2016-02-16,40948.0,2836.57,9135.11,482.89,23191.97,1895.58
2016-02-17,41631.0,2867.34,9377.21,495.1,23381.87,1926.82
2016-02-18,41478.0,2862.89,9463.64,497.75,23649.22,1917.83
2016-02-19,41543.0,2860.02,9388.05,480.54,23709.15,1917.78
2016-02-22,43235.0,2927.18,9573.59,487.97,23788.79,1945.5
2016-02-23,42521.0,2903.33,9416.77,493.97,23410.18,1921.27
2016-02-24,42085.0,2928.9,9167.8,474.28,23088.93,1929.8
2016-02-25,41888.0,2741.25,9331.48,483.98,22976.0,1951.7
2016-02-26,41593.0,2767.21,9513.3,507.12,23154.3,1948.05
2016-02-29,42794.0,2687.98,9495.4,516.71,23002.0,1932.23
2016-03-01,44122.0,2733.17,9717.16,520.08,23779.35,1978.35
2016-03-02,44893.0,2849.68,9776.62,535.78,24242.98,1986.45
2016-03-03,47193.0,2859.76,9751.92,551.36,24606.99,1993.4
2016-03-04,49085.0,2874.15,9824.17,552.84,24646.48,1999.99
2016-03-08,49102.0,2901.39,9692.82,563.67,24659.23,1979.26
2016-03-09,48665.0,2862.56,9723.09,552.59,24793.96,1989.26
2016-03-10,49571.0,2804.73,9498.15,564.12,24623.34,1989.57
2016-03-11,49639.0,2810.31,9831.13,566.2,24717.99,2022.19
2016-03-15,47130.0,2864.37,9933.85,579.3,24551.17,2015.93
2016-03-16,47763.0,2870.43,9983.41,571.73,24682.48,2027.22
2016-03-17,50914.0,2904.83,9892.2,567.24,24677.37,2040.59
2016-03-18,50815.0,2955.15,9950.8,548.58,24952.74,2049.58
2016-03-21,51172.0,3018.8,9948.64,541.7,25285.37,2051.6
2016-03-22,51010.0,2999.36,9990.0,544.3,25330.49,2049.8
2016-03-23,49690.0,3009.96,10022.93,551.31,25337.56,2036.71
